"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет появление ошибки при разных невалидных значения","212","Проверка появления сообщения об ошибки при невалидном значении","tests","Sun Nov 30 10:18:51 UTC 2025","passed","Sun Nov 30 10:18:51 UTC 2025","","Data loading","",""
"Проверка появление об ошибки при невалидных конфигурациях игры","196","Проверка появление об ошибки при невалидных конфигурациях игры","tests","Sun Nov 30 10:20:32 UTC 2025","passed","Sun Nov 30 10:20:32 UTC 2025","","Game page","",""
"Отгадывается число guess и проверяется что оно совпадает с число из сообщения о результатах игры","448","Проверка корректности отображения значения Guess в сообщении о результате игры","tests","Sun Nov 30 10:20:48 UTC 2025","passed","Sun Nov 30 10:20:49 UTC 2025","","Game page","",""
"Тест проверяет появление ошибки при разных невалидных значения","235","Проверка появления сообщения об ошибки при невалидном значении","tests","Sun Nov 30 10:18:47 UTC 2025","passed","Sun Nov 30 10:18:48 UTC 2025","","Data loading","",""
"Значение Guess не превышает максимальное значение заданное при конфигурации игры","953","Значение Guess не превышает максимальное значение","tests","Sun Nov 30 10:20:37 UTC 2025","passed","Sun Nov 30 10:20:38 UTC 2025","","Game page","",""
"Открываем все разделы и запоминаем актуальный url, затем сравниваем его с ожидаемым url","6034","Открываем все разделы","tests","Sun Nov 30 10:21:07 UTC 2025","passed","Sun Nov 30 10:21:13 UTC 2025","","Main page","",""
"Тест проверяет работу механизма валидации числовых и текстовых значений:
- При вводе корректного числа в диапазоне отображается сообщение «Valid» с зелёным цветом.
- При вводе некорректного числа или текс выводится соответствующее сообщение и цвет ошибки.
","155","Проверка валидации значения","tests","Sun Nov 30 10:19:48 UTC 2025","passed","Sun Nov 30 10:19:48 UTC 2025","","Check and validate","",""
"Проверка появление об ошибки при невалидных конфигурациях игры","247","Проверка появление об ошибки при невалидных конфигурациях игры","tests","Sun Nov 30 10:20:30 UTC 2025","passed","Sun Nov 30 10:20:30 UTC 2025","","Game page","",""
"Тест проверяет, что автокомплит правильно выводит результат взависимости от введенного текста","1165","Проверка корректности автокомплита","tests","Sun Nov 30 10:19:01 UTC 2025","passed","Sun Nov 30 10:19:02 UTC 2025","","Autocomplete","",""
"Тест проверяет совпадает ли количество попыток заданных при конфигурации с количеством в rules","205","Проверка отображаемого количества попыток в rules","tests","Sun Nov 30 10:20:47 UTC 2025","passed","Sun Nov 30 10:20:48 UTC 2025","","Game page","",""
